,Model,label,raw,block,canon,difficulty_score,normal_mean,expert_mean,average_mean,mean_diff_normed,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,ranking_7,expert_1,expert_2
34,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),bow tie,Bow tie,34,Bow tie - Owl,0.6572361578806541,3.0,5.0,4.0,1.3710553684773834,1.0,4.0,4.0,1.0,5.0,3.0,,5.0,5.0
35,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),bikini top,Bikini top,35,Bow tie - Owl,0.6634528351709783,1.4,2.5,1.95,0.6562669714165923,1.0,3.0,1.0,1.0,1.0,,,2.0,3.0
36,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),downward arrow,Downward arrow,36,Broom,0.5772467939690892,1.8,1.0,1.4,0.5918544884432752,2.0,2.0,2.0,1.0,2.0,,,1.0,1.0
37,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),stick figure,Stick figure,37,Clubs symbol,0.6776882472823819,1.3333333333333333,1.5,1.4166666666666665,0.45660831634995896,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0
38,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ice cream,Ice cream,38,Clubs symbol - Ice cream,0.5910450288294253,3.0,5.0,4.0,1.6358198846822987,2.0,3.0,3.0,3.0,5.0,2.0,,5.0,5.0
39,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),dragon fly,Dragon fly,39,Clubs symbol - Ice cream,0.6294757245258944,1.3333333333333333,1.5,1.4166666666666665,0.5249093902549828,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0
40,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),table frame,Table frame,40,Mug,0.6494578485259365,1.4,2.0,1.7,0.595921657505908,1.0,2.0,2.0,1.0,1.0,,,1.0,3.0
41,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),padlock,padlock,41,Mug,0.6527248385613104,3.2,4.0,3.6,1.2501905811792828,2.0,4.0,4.0,2.0,4.0,,,3.0,5.0
42,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),window pane,window pane,42,Window - Grid,0.4461387803125867,4.666666666666667,5.0,4.833333333333334,2.6769958951558315,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0
43,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),apple stem,Apple stem,43,Mouse,0.7158409820449328,1.8,3.0,2.4,0.6819816430921611,1.0,1.0,2.0,3.0,2.0,,,2.0,4.0
44,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),dollar sign,Dollar sign,44,Computer Mouse,0.7324056829010255,1.1666666666666667,1.0,1.0833333333333335,0.2898938435238891,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0
45,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),stick figure,Stick figure,45,Clock,0.5855004902475762,1.25,1.0,1.125,0.4663119484714767,2.0,1.0,1.0,1.0,,,,1.0,1.0
46,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),spade symbol,Spade symbol,46,Lightbulb - Ice Cream,0.7069768704241428,1.0,2.5,1.75,0.51279047675775,1.0,1.0,1.0,1.0,,,,2.0,3.0
47,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),dollar sign,Dollar sign,47,Computer Mouse,0.8511684216890806,1.3333333333333333,1.0,1.1666666666666665,0.1736368413627393,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0
48,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),cross,Cross,48,Letter T,0.6196442811846602,1.4,1.5,1.45,0.5515157922822427,1.0,2.0,1.0,2.0,1.0,,,1.0,2.0
49,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ice cream,Ice cream,49,Heart,0.5711914979083924,2.0,3.0,2.5,1.072021255229019,2.0,2.0,3.0,1.0,2.0,2.0,,3.0,3.0
50,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),stick figure,Stick figure,50,Stick Figure,0.6767454424369007,4.833333333333333,5.0,4.916666666666666,1.5893349080185712,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0
51,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),stick figure,Stick figure,51,Television,0.6344956971999075,2.0,1.0,1.5,0.5482564542001387,1.0,1.0,4.0,3.0,1.0,,,1.0,1.0
52,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),letter f,Letter F,52,Letter F,0.6853657836486973,5.0,5.0,5.0,1.5731710817565137,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
53,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),sailboat,Sailboat,53,Sailboat,0.6746837943221582,4.833333333333333,5.0,4.916666666666666,1.599471344582722,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0
54,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),music note,Music note,54,Music Note,0.5702566768448688,4.333333333333333,5.0,4.666666666666666,2.005468841390612,5.0,5.0,4.0,5.0,3.0,4.0,,5.0,5.0
55,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),downward arrow,Downward arrow,55,Yield Sign - Martini Glass,0.5813663731940197,1.2,1.5,1.35,0.5651553961880734,1.0,1.0,1.0,2.0,1.0,,,1.0,2.0
56,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),clock,Clock,56,Clock,0.5874327098174441,4.666666666666667,5.0,4.833333333333334,1.9940752358823537,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0
57,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),hourglass,Hourglass,57,Hourglass,0.4898972947782638,3.8333333333333335,5.0,4.416666666666667,2.2529536147293348,5.0,4.0,5.0,4.0,1.0,4.0,,5.0,5.0
58,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),umbrella,Umbrella,58,Umbrella,0.4292901565322177,4.833333333333333,5.0,4.916666666666666,2.805990063716596,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0
59,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),upward arrow,Upward arrow,59,Pine tree,0.5752668834094511,4.0,4.0,4.0,1.6989324663621956,4.0,5.0,5.0,4.0,4.0,2.0,,4.0,4.0
60,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),ladder,Ladder,1,Ladder,0.4751185628015861,5.0,5.0,5.0,2.6244071859920695,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
61,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),sideways ladder,Sideways ladder,2,Ladder,0.6610531487654556,2.8,3.0,2.9,0.9829458685801786,2.0,5.0,4.0,2.0,1.0,,,4.0,2.0
62,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),handlebar mustache,Handlebar mustache,3,Glasses,0.6845673981674806,1.0,1.5,1.25,0.39429075229064925,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0
63,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),figure eight,Figure eight,4,Glasses,0.5468725449723439,1.2,1.0,1.1,0.4984402005304217,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0
64,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),eyeglasses,Eyeglasses,5,Glasses,0.5451123909099757,2.2,5.0,3.6,1.6375953927240876,3.0,2.0,2.0,1.0,3.0,,,5.0,5.0
65,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),eyeglasses,Eyeglasses,6,Glasses,0.6296458064862441,3.1666666666666665,5.0,4.083333333333333,1.512279623514503,4.0,2.0,3.0,5.0,3.0,2.0,,5.0,5.0
66,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),arrow shaft,Arrow shaft,7,Pine Tree,0.5548532022011824,3.6,4.0,3.8,1.6915578316355069,5.0,3.0,2.0,3.0,5.0,,,5.0,3.0
67,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),ship anchor,Ship anchor,8,Butterfly,0.6411043581205884,2.0,1.0,1.5,0.5383434628191174,1.0,2.0,4.0,1.0,,,,1.0,1.0
68,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),ship anchor,Ship anchor,9,Butterfly,0.6425347026663212,1.2,1.5,1.35,0.48257815140046645,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0
69,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),pitchfork,Pitchfork,10,Comb - Pitchfork,0.6756697358651155,4.666666666666667,5.0,4.833333333333334,1.567596276651942,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0
70,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),rake,rake,11,Comb - Pitchfork,0.6226273261756372,3.5714285714285716,4.5,4.035714285714286,1.5229682907911783,2.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0
71,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),umbrella,Umbrella,12,Goblet,0.6350097299355925,1.5,1.5,1.5,0.5474854050966114,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0
72,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),mushroom,Mushroom,13,Goblet,0.6759272535859652,1.1428571428571428,2.0,1.5714285714285714,0.5092571729363404,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
73,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),horseshoe magnet,Horseshoe magnet,14,Computer Mouse,0.7418457479906454,1.3333333333333333,2.5,1.9166666666666665,0.4947956496845963,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,3.0
74,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),yield sign,Yield sign,15,House,0.5604145691220367,1.2,1.0,1.1,0.4835439739657597,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0
75,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),house,house,60,House,0.5476538878373272,3.5,5.0,4.25,1.9224709766913595,4.0,4.0,4.0,2.0,4.0,3.0,,5.0,5.0
76,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),church bell,church bell,16,Ice cream,0.5213069155657604,1.0,1.0,1.0,0.47869308443423964,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
77,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),wishbone,Wishbone,17,Ice cream,0.6339653089357414,1.5,1.0,1.25,0.45754336383032324,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0
78,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),umbrella,Umbrella,18,Ice cream,0.6847597069012321,1.5,1.5,1.5,0.47286043964815183,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,2.0
79,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),key,key,19,Computer Mouse,0.859309544470196,1.0,1.0,1.0,0.14069045552980397,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
80,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),key,key,20,Crystal ball - Person Outline,0.6219390375192231,1.4,1.0,1.2,0.4536731549769323,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0
81,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),magnifying glass,Magnifying glass,21,Crystal ball - Person Outline,0.7380031106155932,1.5,1.0,1.25,0.3274961117305085,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0
82,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),play button,Play button,22,Fish,0.7208342020855323,2.5,1.0,1.75,0.4885401463503185,4.0,2.0,2.0,4.0,2.0,1.0,,1.0,1.0
83,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),dollar sign,Dollar sign,23,Lollipop,0.6343711397762843,1.3333333333333333,1.0,1.1666666666666665,0.42656700359433486,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0
84,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),staple,Staple,24,Chair,0.6122911911027547,1.4,2.0,1.7,0.6591049751253171,2.0,2.0,1.0,1.0,1.0,,,1.0,3.0
85,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),boot heel,Boot heel,25,Chair,0.5452904006405492,1.2,1.0,1.1,0.5001805592953958,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0
86,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),stick figure,Stick figure,26,Flag,0.5048827596669067,1.6666666666666667,1.0,1.3333333333333335,0.6601563204441245,1.0,1.0,1.0,3.0,3.0,1.0,,1.0,1.0
87,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),backwards f,Backwards F,27,Door,0.6329439046769518,1.4,1.0,1.2,0.4404673143876578,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0
88,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),bicycle handlebars,Bicycle handlebars,28,Glasses,0.6597435356665721,1.8,2.0,1.9,0.646487282233513,1.0,2.0,4.0,1.0,1.0,,,1.0,3.0
89,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),magnifying glass,Magnifying glass,29,Shovel,0.5969217655525534,1.0,1.0,1.0,0.4030782344474466,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
90,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),comb,comb,30,Fish bones,0.7482943265112354,1.0,1.5,1.25,0.31463209186095575,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0
91,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),stick figure,Stick figure,31,Balloon,0.7324644726199256,3.4285714285714284,2.5,2.9642857142857144,0.7930517418766491,3.0,1.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0
92,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),umbrella,Umbrella,32,Goblet,0.6384694570046723,1.0,1.5,1.25,0.45191317874415965,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0
93,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),horseshoe magnet,Horseshoe magnet,33,Plunger,0.6658658756083077,2.0,1.5,1.75,0.5847347176854616,1.0,1.0,3.0,4.0,1.0,,,1.0,2.0
94,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),bow tie,Bow tie,34,Bow tie - Owl,0.6572361578806541,3.0,5.0,4.0,1.3710553684773834,1.0,4.0,4.0,1.0,5.0,3.0,,5.0,5.0
95,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),heart,Heart,35,Bow tie - Owl,0.6634528351709783,1.1666666666666667,1.5,1.3333333333333335,0.44872955310536233,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0
96,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),pitchfork,Pitchfork,36,Broom,0.5772467939690892,2.8333333333333335,3.5,3.166666666666667,1.338718485764551,4.0,3.0,1.0,5.0,2.0,2.0,,5.0,2.0
97,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),stick figure,Stick figure,37,Clubs symbol,0.6776882472823819,1.3333333333333333,1.5,1.4166666666666665,0.45660831634995896,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0
98,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),face,face,38,Clubs symbol - Ice cream,0.5910450288294253,1.3333333333333333,1.0,1.1666666666666665,0.4771141330323371,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0
99,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),stick figure,Stick figure,39,Clubs symbol - Ice cream,0.6294757245258944,1.3333333333333333,1.0,1.1666666666666665,0.4322783213864565,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
100,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),side chair,Side chair,40,Mug,0.6494578485259365,1.6,2.0,1.8,0.6309758726533143,1.0,2.0,1.0,1.0,3.0,,,2.0,2.0
101,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),key,key,41,Mug,0.6527248385613104,1.1666666666666667,1.0,1.0833333333333335,0.37621475822524714,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
102,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),window pane,window pane,42,Window - Grid,0.4461387803125867,4.666666666666667,5.0,4.833333333333334,2.6769958951558315,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0
103,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),key,Key,43,Mouse,0.7158409820449328,1.2,1.0,1.1,0.3125749197505739,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0
104,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),dollar sign,Dollar sign,44,Computer Mouse,0.7324056829010255,1.1666666666666667,1.0,1.0833333333333335,0.2898938435238891,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0
