Model,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,060,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
OpenAI: GPT 4.1 - Multiple Context (2025-07-21),ladder rungs,Ladder,glasses,Glasses,eyeglasses,glasses,Wine glass,butterfly,owl face,Greek pi,table fork,Drinking fountain,anchor,horseshoe magnet,house,house,heart,Wine glass,Ribbon award,Dollar sign,Magnifying glass,Treble clef,Lowercase a,Dollar sign,crutch,key,arrow sign,Staple remover,eyeglasses,Hospital sign,Barrier gate,Magnifying glass,Door knocker,Golf club,Bow tie,Owl face,Peace sign,Bow tie,Ice cream,owl face,bed,Pipe clamp,Hash sign,saxophone key,Dollar sign,Magnifying glass,Treble clef,Dollar sign,table lamp,heart,Wine glass,keyhole,flagpole sign,Musical note,Gas pump,anchor,arm,Railroad crossing,Musical clef,Gymnastics apparatus
OpenAI: GPT 4.1 - Single Context (2025-07-21),ladder,Ladder,playing spade,heart,butterfly wings,glasses,tree,butterfly,Butterfly,fir tree,Dining chair,table lamp,Mushroom cloud,Elephant head,diamond,diamond,shield,Wishbone,heart,Music note,Hot air balloon,Guitar silhouette,Ping pong,Standing microphone,trident,flag sign,Flagpole arrow,Table chair,glasses,arch,Church window,balloon,umbrella,lollipop,Butterfly,Butterfly,Peace symbol,Flower bud,Mickey Mouse,Ice cream,flagpole,Flag sign,Pound sign,Lollipop swirl,Musical note,Magnifying glass,Playing spade,Treble clef,Right angle,heart,candelabra stand,key,flagpole,sailboat,music note,Martini glass,Peace sign,Bow tie,Umbrella,Arrowhead ladder
OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),ladder,Ladder,Eye glasses,Butterfly wings,bed,barbell,Railroad track,Butterfly head,Butterfly,Fork and knife,fork,Table lamp,Door hinge,Crab claw,Pentagon house,house,Whale tail,Wine glass,Magnifying glass,USB connector,padlock,Music note,Power button,Keyhole,Pipe wrench,Flagpole signpost,Check mark,Goal post,eyeglasses,Goal post,Bridge support,Magnifying glass,Umbrella handle,Golf club,Infinity symbol,Owl face,peace sign,glasses,Mickey Mouse,Infinity symbol,Goal post,Flag pole,Tic-tac-toe,Stethoscope,Dollar sign,LO monogram,heart,Dollar sign,Uppercase pi,Arrow key,slingshot,keyhole,Lowercase r,Flag bracket,music clef,anchor,Broken letter,Zorro symbol,Pipe wrench,Gymnastics apparatus
OpenAI: GPT 4.1 w/ GPT-Image-1 - Single Context (2025-07-21),ladder,fence,Ballet shoes,Glasses,bed,eyeglasses,Spire,butterfly,Butterfly antennae,Forklift icon,comb,Desk lamp,stapler,Owl face,plant pot,house,Trophy cup,goblet,Cup trophy,Scissors,Magnifying glass,Magnifying glass,keyhole,streetlamp,hammer,flagpole,Check mark,Rail tracks,eyeglasses,chair,Rail bridge,lollipop,mushroom,Mushroom stem,hourglass,Heart glasses,Slingshot pole,Magnifying glass,Snowman face,Snowman sideways,ear,key,Hash symbol,Musical note,Swan,Magnifying glass,handcuffs,scissors,Flagpole sign,Bird head,slingshot,keyhole,Uppercase F,Desk lamp,Flag stand,pushpin,arm,Tape dispenser,Umbrella handle,Bridge arch
OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-11),Ladder,Ladder,glasses,binoculars,Goggles,Bra,Christmas tree,Butterfly,Butterfly,comb,Rake,Wine glass,Wine glass,Headphones,House,House,Shield,Parachute,Map pin,smoking face,Keyhole,American football,Record player,Magnifying glass,Jib crane,Chair,pennant flag,Broken ladder,Headphones,C note,Grand piano,Stick figure,Wine glass,Toilet plunger,owl face,Owl,Peace symbol,Angel,clubs symbol,club symbol,Coffee cup,Pipe,window pane,Power button,Stethoscope,clock,Yin yang,Stethoscope,T-square,Heart,Stick figure,House,Capital F,golf hole,Key,martini glass,clock,Hourglass,Umbrella,Pine tree
OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-15),Ladder,Ladder,Glasses,Butterfly wings,Goggles,Butterfly,pine tree,Butterfly,Butterfly,Trident,Trident,Table lamp,wine glass,Headphones,House,House,Ice-cream cone,Ice cream,icecream cone,Clothesline,Person,Crystal ball,Play button,Hand mirror,Chair,Chair,pennant,Door,Binoculars,Hand,Key,stick figure,Wine glass,Service bell,Bow tie,Owl face,Peace sign,Butterfly,Shamrock,Stylized person,coffee mug,Coffee mug,3x3 grid,Stethoscope,Power button,clock,Hourglass,Egyptian eye,T-square,Heart,Stick figure,TV,Capital F,Sailboat,Key,Martini glass,Circled R,Hourglass,Umbrella,Greek temple
OpenAI: GPT 5 - Multiple Context - Low Reasoning (2025-09-15),Ladder,Ladder,Butterfly,Butterfly,eyeglasses,Headphones,Christmas tree,Butterfly,Butterfly,Rake,Trident,UFO,Mushroom,Headphones,House,House,Teardrop,Manta ray,speech bubble,Padlock key,Teapot lid,Overturned cup,Fish,Magnifying glass,Chair,Chair,Capital K,Window,Binoculars,Exclamation mark,Comb,Martini glass,Lollipop,Bell clapper,Eyeglasses,Owl face,Pitchfork,Snowman,Ice cream cone,Butterfly,Key,Padlock hasp,3x3 grid,Stethoscope,Power button,Seated person,Hourglass,Stethoscope,Capital T,Spade,Anchor,House,capital F,Snow globe,magnifying glass,Martini glass,compass needle,Truss bridge,Umbrella,Triangular signpost
OpenAI: GPT 5 - Multiple Context - Medium Reasoning (2025-09-16),Ladder,Ladder,Two cherries,Glasses,eyeglasses,Eyeglasses,Christmas tree,Butterfly,Butterfly,Inverted comb,rake,Table lamp,Mushroom,Headphones,House,House,Map pin,Flying saucer,map pin,Sled,User icon,American football,PacMan,Lollipop,Chair,Chair,Less-than sign,Picture frame,Binoculars,Anchor,Clock,Stick figure,Table lamp,Toilet plunger,Bow tie,owl,Peace symbol,Club suit,Club suit,Butterfly,Key,coffee mug,Tic-tac-toe,cartoon bomb,Power button,Seated person,Eye,Snake eye,Capital T,Heart,Stick figure,Running man,Capital F,Teapot,pound sign,martini glass,circled r,Scissor jack,Umbrella,Sword
OpenAI: GPT 5 - Multiple Context - Minimal Reasoning (2025-09-16),Ladder stack,Eiffel Tower,heart,Butterfly wings,Barbell weight,Eyeglasses with antennas,Double spear,butterfly,butterfly bow,Fork and trident,Stapler silhouette,Mushroom cap,Mushroom cap,Headphones,House,House,Trophy,Slingshot frame,Trumpet mouthpiece,CD slot,Magnifying glass,Coffee cup,Power button,Stethoscope silhouette,Block H,key,Anchor symbol,Shopping cart,Barbell weight,stethoscope symbol,Trident fork,Stick figure,Mushroom cap,Umbrella handle,Bow tie,owl face,Forked staff,barbell lollipop,owl face,Ouroboros symbol,Shopping cart,Parking sign,hashtag,stethoscope,Saxophone key,Magnifying glass,hourglass,Treble clef,T-junction,butterfly knife,Wine glass,Flag emblem,Flagpole bracket,keyhole,Flag key,Anchor spear,Kite emblem,Railroad crossing,Umbrella hook,Trophy cup
OpenAI: o3 - Multiple Context - High Reasoning (2025-07-21),Ladder,Ladder,Barbell,Goal posts,bed,Owl,christmas tree,Butterfly,Butterfly,Trident,Trident,wine glass,Goblet,Headphones,House,house,icecream cone,Chalice,Keyhole,coffee cup,keyhole,Hot air balloon,speech bubble,Anchor,Chair,Chair,flag,Bookshelf,Eyeglasses,Power button,Chair,Stick figure,Table lamp,Mushroom,owl,Owl,Peace sign,information icon,Club suit,Club suit,Coffee mug,coffee mug,Tic-tac-toe,Power button,Lollipop,Skeleton key,Hourglass,Asclepius rod,Hammer,Heart,Anchor,Television,Capital F,Sailboat,smoking pipe,Martini glass,Registered trademark,Hourglass,Umbrella,Arrow
OpenAI: o3 - Multiple Context - High Reasoning (2025-09-15),Ladder,Ladder,Eyeglasses,Eyeglasses,Binoculars,Eyeglasses,Arrow,Butterfly,Butterfly,Trident,Pitchfork,Wine glass,wine glass,Headphones,House,house,Icecream cone,icecream cone,Ice cream,Asclepius rod,Crystal ball,Magnifying glass,Play icon,Lollipop,Periscope,Chair,Flag,Picture frame,Eyeglasses,Plunger,park bench,Push pin,Wine glass,Capitol dome,Owl,Spade symbol,tuning fork,Club suit,Club symbol,Butterfly,Coffee mug,Coffee mug,Tic-tac-toe board,Power button,Soup bowl,Magnifying glass,Number 8,Snail shell,Hammer,Heart,Anchor,House,Capital F,Anchor,Skeleton key,Martini glass,Registered symbol,Hourglass,Umbrella,Arrow
OpenAI: o3 - Multiple Context - Low Reasoning (2025-09-12),Ladder,ladder,Eyeglasses,Infinity symbol,Eyeglasses,ant,Christmas tree,Butterfly,Butterfly,Fork,Dinner fork,Mushroom,Mushroom,Pig snout,Hexagon,House,Teardrop,Martini glass,Map pin,Smash Ball,Lollipop,Theta symbol,Fish,Magnifying glass,Chair,Chair,Slingshot,Door frame,Eyeglasses,G-clamp,Bitcoin symbol,Thumbtack,Wine glass,Spiked helmet,Owl face,Spade symbol,Utility pole,Info icon,club suit,club suit,coffee mug,Chair,tic-tac-toe,Eighth note,Power button,Magnifying glass,Snowman,Snail,Garden hoe,heart,Stick figure,tripod camera,capital F,Mushroom,Treble clef,Martini glass,Registered trademark,Barn door,Umbrella,Pine tree
OpenAI: o3 - Multiple Context - Medium Reasoning (2025-09-12),Ladder,Ladder,dumbbell,Spectacles,Eyeglasses,Butterfly,Christmas tree,butterfly,Butterfly,Comb,picket fence,wine glass,Greek phi,Headphones,Hexagon,House,Wine glass,Ice cream,icecream cone,Wheelchair,Snowman,Light bulb,speech bubble,Magnifying glass,Chair,Hammer,Letter K,Door frame,Goggles,Mushroom,Grand piano,stick figure,Wine glass,Anchor,Bow tie,Owl face,Anchor,Stick figure,club suit,Ice cream,Bed,coffee mug,hash symbol,Power button,Dollar sign,clock,Hourglass,Asclepius rod,Handgun,Spade symbol,Radio tower,Claw hammer,Capital F,Sailboat,Skeleton key,Martini glass,Registered trademark,Hourglass,Umbrella,Sailboat
OpenAI: o3 - Single Context - High Reasoning (2025-07-21),ladder,ladder,handcuffs,eyeglasses,eyeglasses,handcuffs,tree,butterfly,butterfly,trident,comb,goblet,toilet,headphones,house,house,ice cream,ice cream,keyhole,hot coffee,crystal ball,crystal ball,fish,magnifying glass,chair,chair,signpost,bed,handcuffs,anchor,plug,lollipop,wine glass,umbrella,bowbow,bow,trident,flower,club,club,coffee mug,coffee mug,waffle,yo-yo,hot soup,wheelchair,window,anchor,signpost,scissors,anchor,house,forklift,sailboat,key,martini glass,clock,bow tie,umbrella,tree
OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-07-21),Ladder,Ladder,Spectacles,Goggles,Eyeglasses,Binoculars,Pine tree,Butterfly,Butterfly,Trident,Pitchfork,wine glass,Goblet,Headphones,Square bucket,house,Pizza slice,icecream cone,icecream cone,Globe,Keyhole,Keyhole,dart,Magnifying glass,chair,Chair,Signpost,Door frame,Binoculars,Anchor,Wheelchair,Stick figure,Wine glass,Toilet plunger,Owl,Owl,Trident,club suit,club symbol,club symbol,Coffee mug,Coffee mug,Tic-tac-toe,Power symbol,Magnifying glass,Magnifying glass,eight,Treble clef,Hammer,Heart,Stick figure,television,Capital F,Sailboat,Skeleton key,Martini glass,lowercase r,Scissor jack,Umbrella,Christmas tree
OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-09-16),Ladder,Ladder,Eyeglasses,TIE fighter,Eyeglasses,Butterfly,Christmas tree,Butterfly,Butterfly,Hair comb,Pitchfork,wine glass,Table lamp,Headphones,Equilateral hexagon,House,Teardrop,icecream cone,icecream cone,Sled,Hot air balloon,Ice cream,Play button,Hand mirror,Chair,Chair,Pennant flag,Broken ladder,Bra,Anchor,Wheelchair,Stick figure,wine glass,pot lid,Owl face,Owl,Pitchfork,Snowman,club symbol,Club suit,coffee mug,Coffee mug,Window pane,Treble clef,Power button,Key,Figure eight,Dollar sign,Capital T,Heart,Anchor,House,Capital F,Fish hook,Skeleton key,Martini glass,Clock,Hourglass,Umbrella,Tree
OpenAI: o3 Pro - Single Context - High Reasoning (2025-07-21),ladder,ladder,bra,spectacles,spectacles,bra,pine tree,butterfly,butterfly,pitchfork,pitchfork,wine glass,goblet,headphones,house,envelope,icecream cone,icecream cone,icecream cone,teapot,crystal ball,crystal ball,speech bubble,lollipop,anchor,chair,flag,door,bra,anchor,bench,tripod,goblet,pot lid,spade,spade,peace sign,angel,club,club,coffee mug,coffee mug,window,question mark,question mark,clock,pop-up toaster,teapot,hammer,ice-cream cone,anchor,birdhouse,signpost,sailboat,key,martini glass,clock,hourglass,umbrella,road sign
OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-21),Ladder,Ladder,Eyeglasses,Glasses,Glasses,Butterfly,Pine tree,Butterfly,Butterfly,Table,Trident,Wine glass,Padlock,Headphones,House,House,Shield,Shield,speech bubble,coffee cup,Magnifying glass,snail,Arrow,Magnifying glass,Chair,Chair,Axe,Window,Binoculars,Wine glass,HD monogram,Stick figure,wine glass,Golf club,Owl face,owl,Anchor,Butterfly,Ice cream,Owl,EP,coffee mug,Grid,Question mark,Dollar sign,Padlock,number 8,Treble clef,Letter T,Heart,Anchor,Key,Letter F,Anchor,Skeleton key,Anchor,Circled K,Hourglass,Umbrella,Arrow
OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-22),Ladder,Ladder,Eyeglasses,Binoculars,Eyeglasses,Binoculars,Christmas tree,Butterfly,Butterfly,Hair comb,Comb,Anchor,Hammer,Headphones,house,House,Shield,wine glass,Speech bubble,Euro symbol,Stick figure,Padlock,Arrow,Lollipop,Chair,Chair,Coat hanger,Window frame,Bra,Anchor,Fence,Umbrella,Mushroom,Spoon,Glasses,Owl,Trident,Anchor,Clover,Butterfly,EP,Parking sign,Grid,power button,Dollar sign,Power button,number 8,Dollar sign,Corner bracket,Ice cream,Anchor,House,Letter F,Pistol,lowercase f,Martini glass,Circled k,Letter Z,Umbrella,Up arrow
OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-23),Ladder,Ladder,glasses,Glasses,Eyeglasses,Infinity sign,Christmas tree,Butterfly,Butterfly,Fork,Trident,Table lamp,Wine glass,Headphones,House,House,Bookmark,Slingshot,Wine glass,Database,Toilet,Padlock,Play button,Magnifying glass,Hammer,Chair,Flag,Door frame,Eyeglasses,Anchor,HD monogram,Stick figure,Claw hammer,Golf club,Owl,Owl,Anchor,Club symbol,Shamrock,Butterfly,EP,Flag,Grid,Power symbol,Coffee cup,Magnifying glass,Figure eight,Glasses,Letter T,Ice cream,Anchor,Key,Capital F,Sailboat,music note,Martini glass,Half k,Letter Z,Umbrella,Up arrow
OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-24),Ladder,Ladder,Dumbbell,Binoculars,Glasses,Binoculars,Pine tree,Butterfly,Butterfly,Pitchfork,Pitchfork,Wine glass,Wine glass,Headphones,House,House,Location pin,wine glass,Ice cream,Currency symbol,Keyhole,Magnifying glass,Play button,Lollipop,Chair,Hammer,Flag,Ladder,Eyeglasses,Hard drive,HD monogram,Anchor,Wine glass,Golf club,Owl,Owl face,Anchor,Stick figure,Clover,Butterfly,Rectangle,Coffee mug,Tic-tac-toe,Power symbol,Dollar sign,clock,number 8,Anchor,Capital T,Owl face,Anchor,Key,Capital F,Key,Fishing hook,Table lamp,letter k,Letter Z,Umbrella,House
OpenAI: o3 w/ GPT-image-1 - Multiple Context - Med Reasoning (2025-07-14),Ladder,Ladder,Eyeglasses,Glasses,Eyeglasses,Owl,Pine tree,Butterfly,Butterfly,Hair comb,Trident,Wine glass,Letter T,Horseshoe magnet,house,House,Ice cream,Shield,keyhole,SCD Logo,Keyhole,Snowman,Fish,Magnifying glass,Hammer,Chair,Arrow,Door frame,Binoculars,Anchor,HD icon,Anchor,Wine glass,Power button,Eyeglasses,owl face,tuning fork,stick figure,Shamrock,Owl face,Coffee mug,Door,Grid,Power button,Dollar sign,Magnifying glass,number 8,Dollar sign,Inverted T,Owl,Stick figure,Wheelbarrow,Letter F,Sailboat,Treble clef,Down arrow,letter k,Capital Z,Umbrella,House
OpenAI: o4-mini - Multiple Context - High Reasoning (2025-07-21),Ladder,Ladder,Glasses,heart,Handcuffs,Handcuffs,arrow,Caduceus,Candlestick,Comb,Trident,Wine glass,Wine glass,Headphones,House,house,Funnel,Parachute,Ice cream,S-hook,Ice cream,Magnifying glass,Ice cream,Magnifying glass,Coat hook,Chair,Signpost,Door handle,Glasses,Trident,key,Stick figure,Church bell,Toilet plunger,Glasses,Spade symbol,Tree branch,Stick figure,ice cream cone,Pulley system,Key,Pistol,Hash sign,Power button,Christmas ornament,clock,Tuning fork,Balloon,Capital T,Pendant lights,Stick figure,Birdhouse,Letter F,Microscope,Coat hook,Shovel,clock,Scissor jack,Umbrella,Pine tree
OpenAI: o4-mini - Multiple Context - Medium Reasoning (2025-07-14),Ladder,Ladder,Dumbbell,Glasses,Dumbbell,glasses,arrow,Caduceus staff,Butterfly,Pitchfork,Door key,Arch bridge,Keyhole,Headphones,Honeycomb cell,house,Download icon,Hot air balloon,Revolver,Computer mouse,Golf ball,Coffee mug,fish,Lollipop,chair,Chair,Arrow,Door,Hydrogen peroxide,Coat hook,Key,stick figure,Chandelier,Hanging lamp,Owl,Goggles,Tuning fork,stick figure,Fruit bowl,stick figure,Skeleton key,Coffee mug,Window frame,Eighth note,Lit match,Power button,Staple remover,Stethoscope,Hammer,bikini set,Stick figure,House,Capital F,Swing set,Dumbbell,Down arrow,Golf club,Window pane,Umbrella,Road sign
OpenAI: o4-mini - Single Context - High Reasoning (2025-07-21),Ladder,Ladder,Wine glass,Tongs,Tongs,Binoculars,Christmas tree,Butterfly,Four-leaf clover,Pitchfork,Pitchfork,Floor lamp,C clamp,Headphones,House,House,Ice cream,Arch bridge,Medal,Tape dispenser,"I see a vertical stem on the left with a smooth semicircular curve attached to its right, forming the bowl of the letter D.",Bowler hat,Goggles,Lollipop,Pistol,Street lamp,Flag pole,Door,Goggles,Shovel,Hinge pin,Balloon,Church bell,Church steeple,Glasses,Glasses,Tuning fork,Weightlifter,Owl,Scissors,Coffee mug,Staple gun,Pound sign,Eighth note,Sunglasses,Skeleton key,Handlebar mustache,Pulley,T-square,Bull skull,Anchor,Birdhouse,Step stool,Pitching wedge,Bottle opener,Capital T,Power button,Truss bridge,Umbrella,Bird feeder
OpenAI: o4-mini - Single Context - Medium Reasoning (2025-07-14),Ladder,Ladder,Pulley,Pulley,Pulley,Digit 8,Christmas tree,Coat rack,Coat rack,Pitchfork,Pitchfork,Church bell,Mortar & pestle,Headphones,House,House,Shelf bracket,Shelf bracket,Shield,Start line,Pulley hook,Power button,Speech bubble,Swirl lollipop,Lamp post,Tower crane,Flag pole,Capital E,Cherries,Jib crane,C-clamp,Lollipop,Coat hook,Church bell,Diving mask,Glasses,Tuning fork,cup and ball,Shamrock,Owl,Bar clamp,Pipe clamp,Window frame,Eighth note,Sun glasses,Stick figure,Arch bridge,C clamp,Pedestal table,Ice cream,Boat anchor,Transistor radio,Comb,Wall sconce,Combination wrench,Shovel,Tobacco pipe,Truss bridge,Umbrella,Sailboat
